assay_component_name	technological_target_type_sub	chnm	casn	stkc	stkc_unit	apid	rowi	coli	wllt	wllq	conc	rval	srcf
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	6	9	t	1	0.123666667	0.12	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	5	8	t	1	0.370666667	0.11	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	5	9	t	1	0.370666667	0.12	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	4	8	t	1	1.112333333	0.09	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	4	9	t	1	1.112333333	0.11	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	3	8	t	1	3.336666667	0.1	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	3	9	t	1	3.336666667	0.12	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	2	8	t	1	10.01	0.2	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	2	9	t	1	10.01	0.16	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	7	6	t	1	0.041152263	0.64	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	7	7	t	1	0.041152263	0.57	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	6	7	t	1	0.12345679	0.57	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	6	6	t	1	0.12345679	0.66	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
